अब
फ्फ
फ्ब
फ्भ
फ्म
फ्य
फ्र
फ्ल
फ्ळ
फ्व
फ्श
फ्ष
फ्स
फ्ह
गाढ
गाद
गाल
घाल
गबन
घार
घास
घाट
घात
घाव
गाय
घडा
घडे
घडी
ईधन
इधर
ईधर
गढ़
गदा
गधा
गदम
गेम
गदर
गेस
गैर
गैस
घेर
गेट
गहन
घिन
गिर
घिस
गीत
गला
गले
गली
गलल
गलन
गजट
गज़
गलत
इंच
घना
गंध
गोद
घनी
गणक
गोल
घोल
गमन
गौण
घों
घौं
ईंट
गोट
ईसा
इसे
इसी
गृह
गरम
गठा
घटा
गूढ
गति
गुल
घटक
गठन
गुण
घुन
घूम
घुस
घूर
घूस
गुट
गया
गयी
इयर
ग्क
ग्ख
ग्ग
ग्घ
ग्ङ
ग्च
ग्छ
ग्ज
ग्झ
ग्ञ
ग्ट
ग्ठ
ग्ड
ग्ढ
ग्ण
ग्त
ग्थ
ग्द
ग्ध
ग्न
ग्प
ग्फ
ग्ब
ग्भ
ग्म
ग्य
ग्र
ग्ल
ग्ळ
ग्व
ग्श
ग्ष
ग्स
ग्ह
घ्क
घ्ख
घ्ग
घ्घ
घ्ङ
घ्च
घ्छ
घ्ज
घ्झ
घ्ञ
घ्ट
घ्ठ
घ्ड
घ्ढ
घ्ण
घ्त
घ्थ
घ्द
घ्ध
घ्न
घ्प
घ्फ
घ्ब
घ्भ
घ्म
घ्य
घ्र
घ्ल
घ्ळ
घ्व
घ्श
घ्ष
घ्स
घ्ह
हाज
हाल
हाँ
हार
हाट
हाथ
हाव
हाय
हेल
हैँ
हैं
हैट
हेय
हिल
हिम
हीन
हिट
हित
हौज
हनन
होँ
हों
हंस
होश
हरा
हरे
हरी
हरण
हटा
हवा
हुआ
हुए
हठी
हुई
हूँ
हूण
ह्क
ह्ख
ह्ग
ह्घ
ह्ङ
ह्च
ह्छ
ह्ज
ह्झ
ह्ञ
ह्ट
ह्ठ
ह्ड
ह्ढ
ह्ण
ह्त
ह्थ
ह्द
ह्ध
ह्न
ह्प
ह्फ
ह्ब
ह्भ
ह्म
ह्य
ह्र
ह्ल
ह्ळ
ह्व
ह्श
ह्ष
ह्स
ह्ह
जाब
काड
जाए
कभी
काग
कबल
काक
काज
काल
कान
काम
कार
खबर
काट
काठ
कडा
खडा
कडे
कैद
खडे
खेद
खैद
कडी
खेई
केक
केल
खेल
कदम
कफ़
कैन
केश
खेप
खेर
खेत
जड़
जेब
जेड
जेल
जेर
जैस
जेट
कहा
जगा
जीभ
कहे
किए
जगह
कील
खीज
जघन
जीन
जीप
कीट
जगत
जीत
जीव
कला
कलई
कलह
कली
खली
कलन
कलम
कौआ
कोड
कोढ
खोद
जोड
कमी
कोई
खोई
खोह
जंग
कमल
खोज
खोल
जनक
जोल
झोल
कों
कोण
कोन
कौन
जनन
कमर
कोप
कोश
कोष
कौर
खौर
जोर
जोश
कंठ
कोट
करा
कशा
कसा
कशी
कसी
करण
करन
करो
कसर
कृश
कपट
कथा
कवच
कुछ
जटा
जुआ
कटे
कूद
कटि
कटी
कवि
जुई
कथक
कवक
कुल
कूक
जुल
कथन
कूं
जूँ
जून
कवर
कटु
क़र
काई
कुर
कूट
क्क
क्ख
क्ग
क्घ
क्ङ
क्च
क्छ
क्ज
क्झ
क्ञ
क्ट
क्ठ
क्ड
क्ढ
क्ण
क्त
क्थ
क्द
क्ध
क्न
क्प
क्फ
क्ब
क्भ
क्म
क्य
क्र
क्ल
क्ळ
क्व
क्श
क्ष
क्स
क्ह
खड़
खंड
खरब
खरा
खरल
खपत
खूब
खुद
खुल
खतम
ख़त
खाए
खाद
खाई
खाल
खान
खार
खास
खाऊ
खाट
खून
खुर
खुश
ख्क
ख्ख
ख्ग
ख्घ
ख्ङ
ख्च
ख्छ
ख्ज
ख्झ
ख्ञ
ख्ट
ख्ठ
ख्ड
ख्ढ
ख्ण
ख्त
ख्थ
ख्द
ख्ध
ख्न
ख्प
ख्फ
ख्ब
ख्भ
ख्म
ख्य
ख्र
ख्ल
ख्ळ
ख्व
ख्श
ख्ष
ख्स
ख्ह
ज्क
ज्ख
ज्ग
ज्घ
ज्ङ
ज्च
ज्छ
ज्ज
ज्झ
ज्ञ
ज्ट
ज्ठ
ज्ड
ज्ढ
ज्ण
ज्त
ज्थ
ज्द
ज्ध
ज्न
ज्प
ज्फ
ज्ब
ज्भ
ज्म
ज्य
ज्र
ज्ल
ज्ळ
ज्व
ज्श
ज्ष
ज्स
ज्ह
झाड
जाग
झाग
जाल
जान
जाम
जार
जाय
झडी
झील
जिन
जिस
जला
झकी
झलक
जलन
जना
जमा
जमी
झपक
झपट
झूम
झूट
झूठ
झ्क
झ्ख
झ्ग
झ्घ
झ्ङ
झ्च
झ्छ
झ्ज
झ्झ
झ्ञ
झ्ट
झ्ठ
झ्ड
झ्ढ
झ्ण
झ्त
झ्थ
झ्द
झ्ध
झ्न
झ्प
झ्फ
झ्ब
झ्भ
झ्म
झ्य
झ्र
झ्ल
झ्ळ
झ्व
झ्श
झ्ष
झ्स
झ्ह
लाभ
लाद
लाख
लाल
लार
लाश
लात
लदा
लेई
लेख
लेन
लेप
लेस
लेट
लगा
लगे
लिए
लिऐ
लीड
लीद
लगी
लिख
लीक
लीन
लहर
लघु
लहू
ललक
लना
लोभ
लोग
लौह
लोल
लोन
लोप
लौट
लपट
लता
लवा
लवण
लतर
लॉन
लोई
लोक
लुक
लूट
ल्क
ल्ख
ल्ग
ल्घ
ल्ङ
ल्च
ल्छ
ल्ज
ल्झ
ल्ञ
ल्ट
ल्ठ
ल्ड
ल्ढ
ल्ण
ल्त
ल्थ
ल्द
ल्ध
ल्न
ल्प
ल्फ
ल्ब
ल्भ
ल्म
ल्य
ल्र
ल्ल
ल्ळ
ल्व
ल्श
ल्ष
ल्स
ल्ह
ळ्क
ळ्ख
ळ्ग
ळ्घ
ळ्ङ
ळ्च
ळ्छ
ळ्ज
ळ्झ
ळ्ञ
ळ्ट
ळ्ठ
ळ्ड
ळ्ढ
ळ्ण
ळ्त
ळ्थ
ळ्द
ळ्ध
ळ्न
ळ्प
ळ्फ
ळ्ब
ळ्भ
ळ्म
ळ्य
ळ्र
ळ्ल
ळ्ळ
ळ्व
ळ्श
ळ्ष
ळ्स
ळ्ह
ओबो
ओझा
ओला
ओले
ओझल
ओंठ
औषध
ओरी
औरत
औसत
ओवर
ङ्क
ङ्ख
ङ्ग
ङ्घ
ङ्ङ
ङ्च
ङ्छ
ङ्ज
ङ्झ
ङ्ञ
ङ्ट
ङ्ठ
ङ्ड
ङ्ढ
ङ्ण
ङ्त
ङ्थ
ङ्द
ङ्ध
ङ्न
ङ्प
ङ्फ
ङ्ब
ङ्भ
ङ्म
ङ्य
ङ्र
ङ्ल
ङ्ळ
ङ्व
ङ्श
ङ्ष
ङ्स
ङ्ह
ञ्क
ञ्ख
ञ्ग
ञ्घ
ञ्ङ
ञ्च
ञ्छ
ञ्ज
ञ्झ
ञ्ञ
ञ्ट
ञ्ठ
ञ्ड
ञ्ढ
ञ्ण
ञ्त
ञ्थ
ञ्द
ञ्ध
ञ्न
ञ्प
ञ्फ
ञ्ब
ञ्भ
ञ्म
ञ्य
ञ्र
ञ्ल
ञ्ळ
ञ्व
ञ्श
ञ्ष
ञ्स
ञ्ह
ण्क
ण्ख
ण्ग
ण्घ
ण्ङ
ण्च
ण्छ
ण्ज
ण्झ
ण्ञ
ण्ट
ण्ठ
ण्ड
ण्ढ
ण्ण
ण्त
ण्थ
ण्द
ण्ध
ण्न
ण्प
ण्फ
ण्ब
ण्भ
ण्म
ण्य
ण्र
ण्ल
ण्ळ
ण्व
ण्श
ण्ष
ण्स
ण्ह
नाच
नाद
नबी
नाई
नाक
नाल
नाम
नाप
नाश
नाव
नदी
नेट
नीच
नही
निज
नील
नीम
नगर
नहर
नकद
नली
नकल
नजर
नमी
नमक
नोक
नोट
नपा
नशा
नशे
नरक
नरम
नया
नये
नयी
न्क
न्ख
न्ग
न्घ
न्ङ
न्च
न्छ
न्ज
न्झ
न्ञ
न्ट
न्ठ
न्ड
न्ढ
न्ण
न्त
न्थ
न्द
न्ध
न्न
न्प
न्फ
न्ब
न्भ
न्म
न्य
न्र
न्ल
न्ळ
न्व
न्श
न्ष
न्स
न्ह
माफ
माह
माल
माँ
मान
माप
मार
मास
मात
मैच
मदद
मेघ
मेज
मेल
मैल
मेँ
में
मैँ
मैं
मैम
मेष
मधु
मफ़
मेत
महा
महक
महल
मिल
मील
मीन
मगर
मिट
मजा
मकई
मकर
मंच
मना
मोच
मंद
मोड
मणि
मणी
मोह
मोल
मौज
मनन
मोम
मौन
मोर
मोठ
मौत
मरा
मरे
मृग
मरण
मरु
मृत
मुख
मूक
मूल
मटर
मूस
मूठ
म्क
म्ख
म्ग
म्घ
म्ङ
म्च
म्छ
म्ज
म्झ
म्ञ
म्ट
म्ठ
म्ड
म्ढ
म्ण
म्त
म्थ
म्द
म्ध
म्न
म्प
म्फ
म्ब
म्भ
म्म
म्य
म्र
म्ल
म्ळ
म्व
म्श
म्ष
म्स
म्ह
पाद
पाइ
पाई
पाग
पाक
पाल
पान
पाप
पार
पास
पाठ
पात
पड़
पेच
पडे
पढे
पेड
पैड
पढी
पदी
पदक
पैक
पैन
पैप
पैर
पेट
पेय
पीच
पीछ
पहल
पिन
पहर
पीप
पीस
पीट
पीठ
पका
पकड
पलक
पलट
पंच
पंक
पंख
पंप
पंथ
परा
परे
परी
परख
परम
परत
पशु
पता
पूछ
पते
पति
पटक
पटल
पुल
पठन
पतन
पवन
पुर
पटु
पॉप
पौन
पोप
पोर
पौप
पौर
पोत
पुआ
पुन
पुट
प्क
प्ख
प्ग
प्घ
प्ङ
प्च
प्छ
प्ज
प्झ
प्ञ
प्ट
प्ठ
प्ड
प्ढ
प्ण
प्त
प्थ
प्द
प्ध
प्न
प्प
प्फ
प्ब
प्भ
प्म
प्य
प्र
प्ल
प्ळ
प्व
प्श
प्ष
प्स
प्ह
रचा
रबड
राई
राग
राह
शाह
राख
राज
राल
शाक
शाल
रान
राम
शान
शाम
रबर
शाप
रात
शाट
राय
रेड
रेग
रेख
रेल
रैक
शैख
शैल
रैन
रैम
रेस
रैप
शेर
शेष
रेत
रहा
रहे
शहद
रही
रील
शील
रहन
रईस
शहर
रीत
शीत
रखा
रखे
रखी
रकम
रखो
रजत
रॉक
रोड
रोध
रौड
रंग
रोग
शनि
रंज
रोक
रोल
रोम
रोष
रसा
रसद
रूफ
रति
रुई
रूई
रुक
रुख
रूं
रूम
रुप
रूप
रूस
र्क
र्ख
र्ग
र्घ
र्ङ
र्च
र्छ
र्ज
र्झ
र्ञ
र्ट
र्ठ
र्ड
र्ढ
र्ण
र्त
र्थ
र्द
र्ध
र्न
र्प
र्फ
र्ब
र्भ
र्म
र्य
र्र
र्ल
र्ळ
र्व
र्श
र्ष
र्स
र्ह
शॉट
शौच
शोध
शोक
शौक
शोर
शोथ
श्क
श्ख
श्ग
श्घ
श्ङ
श्च
श्छ
श्ज
श्झ
श्ञ
श्ट
श्ठ
श्ड
श्ढ
श्ण
श्त
श्थ
श्द
श्ध
श्न
श्प
श्फ
श्ब
श्भ
श्म
श्य
श्र
श्ल
श्ळ
श्व
श्श
श्ष
श्स
श्ह
षट्
ष्क
ष्ख
ष्ग
ष्घ
ष्ङ
ष्च
ष्छ
ष्ज
ष्झ
ष्ञ
ष्ट
ष्ठ
ष्ड
ष्ढ
ष्ण
ष्त
ष्थ
ष्द
ष्ध
ष्न
ष्प
ष्फ
ष्ब
ष्भ
ष्म
ष्य
ष्र
ष्ल
ष्ळ
ष्व
ष्श
ष्ष
ष्स
ष्ह
सभा
साफ
सभी
साग
साख
साज
साल
सार
सास
साठ
सात
साथ
सदा
सधा
सडक
सड़
सेब
सफल
सेल
सदन
सेम
सफर
सेर
सेश
सैर
सेट
सैट
सदय
सगा
सीध
सही
सहज
सिख
सीख
सील
सघन
सहन
सईस
सिर
सीप
सीट
सका
सखा
सजा
सके
सजग
सना
समा
सनद
ऋणी
संघ
शंख
सनक
समझ
समन
सोर
सौर
संत
समय
शरद
ऋषि
सरज
सरल
शरण
सरण
सरो
शपथ
शुभ
सटा
सवा
सूआ
सतह
सुई
सूई
शूल
सुख
सूल
सुन
सूँ
शटर
सुर
सूप
ऋतु
सतत
सूट
सूत
सॉस
सोच
सोख
स्क
स्ख
स्ग
स्घ
स्ङ
स्च
स्छ
स्ज
स्झ
स्ञ
स्ट
स्ठ
स्ड
स्ढ
स्ण
स्त
स्थ
स्द
स्ध
स्न
स्प
स्फ
स्ब
स्भ
स्म
स्य
स्र
स्ल
स्ळ
स्व
स्श
स्ष
स्स
स्ह
ऊबा
ताछ
टाई
ताई
उछल
टाल
ताक
ताज
ताल
तान
ताप
तार
ताश
टाट
ताऊ
उभय
उड़
टेक
उदर
उधर
टेप
टैप
उदय
उफ्
तड़
तेज
तेल
तैल
उगे
टिक
तिल
टिन
टीन
टीम
तीन
टीप
तीर
तीस
तला
तले
तली
उलझ
उलट
टना
तना
उमड
ऊँघ
ऊनी
तंग
टोक
टौल
तोल
तौल
उमस
टोप
तोप
तोर
तौर
ऊँट
उषा
उसे
तरफ
उसी
तरह
उपज
टपक
तरल
उरण
उपर
ऊपर
ऊसर
उठा
तथा
तवा
उथल
ऊतक
टूक
तूल
तुम
तून
उतर
टूट
ट्क
ट्ख
ट्ग
ट्घ
ट्ङ
ट्च
ट्छ
ट्ज
ट्झ
ट्ञ
ट्ट
ट्ठ
ट्ड
ट्ढ
ट्ण
ट्त
ट्थ
ट्द
ट्ध
ट्न
ट्प
ट्फ
ट्ब
ट्भ
ट्म
ट्य
ट्र
ट्ल
ट्ळ
ट्व
ट्श
ट्ष
ट्स
ट्ह
ठाक
ठाट
ठेक
ठेस
ठिक
ठीक
ठना
ठंड
ठोस
ठ्क
ठ्ख
ठ्ग
ठ्घ
ठ्ङ
ठ्च
ठ्छ
ठ्ज
ठ्झ
ठ्ञ
ठ्ट
ठ्ठ
ठ्ड
ठ्ढ
ठ्ण
ठ्त
ठ्थ
ठ्द
ठ्ध
ठ्न
ठ्प
ठ्फ
ठ्ब
ठ्भ
ठ्म
ठ्य
ठ्र
ठ्ल
ठ्ळ
ठ्व
ठ्श
ठ्ष
ठ्स
ठ्ह
त्क
त्ख
त्ग
त्घ
त्ङ
त्च
त्छ
त्ज
त्झ
त्ञ
त्ट
त्ठ
त्ड
त्ढ
त्ण
त्त
त्थ
त्द
त्ध
त्न
त्प
त्फ
त्ब
त्भ
त्म
त्य
त्र
त्ल
त्ळ
त्व
त्श
त्ष
त्स
त्ह
थाइ
थाह
थका
थला
थलग
थोक
थूक
थ्क
थ्ख
थ्ग
थ्घ
थ्ङ
थ्च
थ्छ
थ्ज
थ्झ
थ्ञ
थ्ट
थ्ठ
थ्ड
थ्ढ
थ्ण
थ्त
थ्थ
थ्द
थ्ध
थ्न
थ्प
थ्फ
थ्ब
थ्भ
थ्म
थ्य
थ्र
थ्ल
थ्ळ
थ्व
थ्श
थ्ष
थ्स
थ्ह
वाद
वाह
वाक
वचन
वाम
वार
वास
वात
वधा
वेद
वैध
वेग
वेज
वैन
वेश
वेष
वधू
विद
वही
वहन
विष
वीर
वजन
वंग
वमन
वंश
वोट
वरन
वशं
वृष
व्क
व्ख
व्ग
व्घ
व्ङ
व्च
व्छ
व्ज
व्झ
व्ञ
व्ट
व्ठ
व्ड
व्ढ
व्ण
व्त
व्थ
व्द
व्ध
व्न
व्प
व्फ
व्ब
व्भ
व्म
व्य
व्र
व्ल
व्ळ
व्व
व्श
व्ष
व्स
व्ह
याद
याग
यान
यदि
येन
योग
यौन
युग
य्क
य्ख
य्ग
य्घ
य्ङ
य्च
य्छ
य्ज
य्झ
य्ञ
य्ट
य्ठ
य्ड
य्ढ
य्ण
य्त
य्थ
य्द
य्ध
य्न
य्प
य्फ
य्ब
य्भ
य्म
य्य
य्र
य्ल
य्ळ
य्व
य्श
य्ष
य्स
य्ह
चाचा
अबाध
चाची
चाबी
चाभी
भाभी
अचार
आचार
आभास
अभाव
बचाव
बाबू
चादर
अचेत
छाड़
बाड़
बाडा
बाढ़
बाधा
बादल
बाधक
चाहा
बाग़
बाहे
भागे
बागी
अचिम
बाहँ
बाहर
अभीत
बाहु
छाला
बाज़
बाजा
भाला
छाले
बाजे
भाले
बाजी
भाजी
अबलक
चालक
चालल
बालक
भाजक
चालन
बालो
चाकर
चाकू
चालू
बालू
भालू
छाना
बचना
चाँद
बाँए
बाँध
भाँड
आभोग
चबनी
बाँह
बांह
बाँझ
छानन
बाँस
छाँट
छांट
बाँट
चारा
छापा
भाषा
चारे
बारे
चचरी
बारह
बारी
बासी
भारी
भाषी
अभरक
आचरण
आभरण
चारो
बचपन
भाषण
भारत
छाता
भाटा
छाती
भावी
चातक
चावल
अछूत
छाया
चडाई
अडिग
अधिक
अधीन
अफीन
अदिश
अधीर
अदला
अदना
अदरक
अदरख
अफसर
आड़ा
आड़ी
आड़ू
आड़े
आड़ै
आदान
आधान
आधार
आदेश
आदिम
आदमी
आद्य
चढ़ा
चढ़े
चढाई
चेचक
चढाव
चढना
चेनल
चेरी
चढती
चैती
चेतन
छड़ी
छद्म
बड़ा
बड़ी
बड़े
बडीँ
बढकर
बढना
बढ़ई
बढ़त
बढ़ा
बढ़े
बधाई
बदबू
बधिर
बदला
बदले
बदली
बद्ध
बेचा
बेचे
छेड़
बेडे
छेदक
बेदर
भेड़
भेदी
भेदक
भेडो
बेहद
बेगम
बेघर
छैला
बेला
बेलन
बेकर
भेज़
भेजा
भेजी
बेंच
बैंच
छेनी
बैंग
बैंक
भैंस
बेंत
बेनट
भेँट
भेंट
बेरी
बेशक
बैरक
भेषज
बेसर
बेटा
बैठा
बैठे
बैठै
बेटी
बैठक
अगाध
अहाँ
आहार
चिड़
चिडा
चिढ़
चीफ़
अगला
अगले
अग़र
अग्र
आगले
चीख़
चीज़
चीजे
चिलम
छीलन
छगना
चीनी
आगमन
अघोष
आग्ल
बगैर
बगली
बग़ल
बहाल
बहार
आघात
बहाव
बिदा
बहिः
बहिन
बिका
बीजक
बहकर
अहम्
बहना
बिना
बीमा
बहने
छींट
चीरा
छिपा
छिपी
चीरक
अहरन
आइस्
बहरा
बहरी
बीसी
बिशप
चिता
बहता
बीता
बीते
बहती
बीती
बहुल
छितर
बहतर
बितर
बहुत
बहूत
बियर
बीयर
अकाल
छलबल
आकार
आकाश
आलाप
अलाव
अकड़
आलेख
अजैव
आखेट
अजेय
अजीब
अजगर
आखिर
चकित
आजकल
चकमा
चलना
चलने
छलनी
चकमक
आखों
अलसी
अल्प
आखरी
आलसी
चक्र
बकबक
बजाज
बजाय
बजली
बकना
बजना
बकरा
बकरे
बकरी
चलता
बक्स
बजता
बलवा
बलुआ
चलते
चलती
बल्ब
चमचा
अंचल
अनाज
आंचल
चंचल
अनबन
अनाम
अनाप
अनार
चनार
अनाथ
चंचु
अंडा
अंधा
चँदा
चंदा
चमडा
चौडा
अंडे
चमडे
आँधी
चमडी
चौदह
अनेक
चंदन
अंदर
अन्त
अन्न
अन्य
छोड़
चोगा
अमीन
आँगन
अमीर
अंगू
अमित
चोला
चौका
चमकी
चोली
चौकी
अंजन
चोकर
चौकस
चौखट
चोँच
चोंच
छनना
आनंद
आनने
आमने
आमोद
अमोघ
चौंक
चोरी
अनशन
चौरस
अमृत
आँसू
अंतः
चौथा
चोटी
अमुक
आमुख
आमूल
अंतर
अम्ल
आंतर
आम्ल
छन्द
बनाए
बनाई
बनाव
बंधा
बंदी
बंधक
बंधन
बंदर
बंजर
बनकर
बनना
बनने
बंसी
बनता
बनया
बन्द
बन्ध
बर्थ
बर्फ
बसना
बसने
बसंत
बुफे
बुझा
बुला
बूझे
बुना
